Ticker,Date,Open,High,Low,Close,Adj Close,Volume
^N100,2008-09-04,777.5499878,780,755.1400146,755.1599731,755.1599731,436719900
^DJI,2008-09-04,11532.48047,11532.48047,11176.01953,11188.23047,11188.23047,229200000
^GSPC,2008-09-04,1271.800049,1271.800049,1232.829956,1236.829956,1236.829956,5212500000
GC=F,2008-09-04,801.4000244,809.0999756,794.9000244,797.9000244,797.9000244,76
CL=F,2008-09-04,109.4000015,110.5999985,106.5199966,107.8899994,107.8899994,264187
^NYA,2008-09-05,8008.22998,8043.399902,7860.859863,8033.759766,8033.759766,5017080000
^IXIC,2008-09-05,2241.620117,2264.350098,2216.98999,2255.879883,2255.879883,2261030000
^FTSE,2008-09-05,5362.100098,5362.100098,5227.600098,5240.700195,5240.700195,1653449200
^NSEI,2008-09-05,4444.700195,4444.700195,4328.899902,4352.299805,4352.299805,0
^BSESN,2008-09-05,14569.00977,14601.38965,14438.58984,14483.83008,14483.83008,23200
^N225,2008-09-05,12385.65039,12385.65039,12163.33008,12212.23047,12212.23047,155700000
000001.SS,2008-09-05,2224.5271,2238.323975,2199.36499,2202.446045,2202.446045,38600
^N100,2008-09-05,750.2199707,751.9299927,735.789978,737.7399902,737.7399902,442908000
^DJI,2008-09-05,11185.62988,11245.15039,11037.84961,11220.95996,11220.95996,198300000
^GSPC,2008-09-05,1233.209961,1244.939941,1217.22998,1242.310059,1242.310059,5017080000
GC=F,2008-09-05,794.7000122,809,794,797.5999756,797.5999756,85
CL=F,2008-09-05,107.4800034,108.0999985,105.1299973,106.2300034,106.2300034,249111
^NYA,2008-09-08,8033.830078,8241.709961,8033.830078,8168.620117,8168.620117,7351340000
^IXIC,2008-09-08,2296.179932,2303.889893,2236.969971,2269.76001,2269.76001,2566300000
^FTSE,2008-09-08,5240.700195,5447.600098,5240.700195,5446.299805,5446.299805,808056600
^NSEI,2008-09-08,4358.299805,4558,4358.299805,4482.299805,4482.299805,0
